Algeria,CS:GO,36.73,3.08
Argentina,CS:GO,-34.920345,-57.969559
Australia,Horizon Zero Dawn ,-25.27,133.78
Austria,Horizon Zero Dawn ,47.52,14.55
Bangladesh,FIFA 17,23.68,90.36
Belarus,World of Tanks,53.71,27.95
Belgium,Horizon Zero Dawn ,50.5,4.47
Bolivia,World of Warcraft,-16.29,-63.59
Bosnia and Herzegovina,League of Legends ,43.92,17.68
Brazil,League of Legends ,-14.24,-51.93
Bulgaria,League of Legends ,42.73,25.49
Canada,Overwatch,56.13,-106.35
Chile,League of Legends ,-35.68,-71.54
Colombia,Persona 5,4.57,-74.3
Costa Rica,FIFA 17,9.75,-83.75
Croatia,Battlefield 1,45.1,15.2
Czechia,World of Tanks,12.84,15.53
Denmark,Battlefield 1,57.05,9.94
Dominican Republic,Persona 5,-5.05,18.78
Ecuador,Persona 5,-2.2,-80.86
Egypt,FIFA 17,30.03,31.23
Estonia,World of Tanks,59.44,24.75
Finland,Battlefield 1,60.19,24.95
France,Horizon Zero Dawn ,48.86,2.35
Georgia,World of Warcraft,41.72,44.78
Germany,Horizon Zero Dawn ,52.52,13.4
Ghana,FIFA 17,5.59,-0.14
Greece,League of Legends ,37.98,23.73
Guatemala,FIFA 17,14.63,-90.52
Hong Kong,Horizon Zero Dawn ,22.29,114.15
Hungary,World of Tanks,47.5,19.04
India,Call of Duty: Infinite Warfare,28.64,77.22
Indonesia,Persona 5,-6.91,107.61
Iran,Call of Duty: Infinite Warfare,35.72,51.4
Iraq,Battlefield 1,33.31,44.36
Ireland,FIFA 17,53.35,-6.27
Israel,Battlefield 1,31.77,35.22
Italy,FIFA 17,41.89,12.49
Japan,Horizon Zero Dawn ,35.65,139.84
Jordan,FIFA 17,31.96,35.93
Kazakhstan,World of Tanks,51.17,71.45
Kenya,FIFA 17,-1.29,36.82
Latvia,World of Warcraft,56.95,24.11
Lebanon,FIFA 17,33.89,35.5
Lithuania,League of Legends ,54.69,25.28
Macedonia,League of Legends ,41.05,20.71
Malaysia,Persona 5,3.52,101.54
Mexico,Persona 5,19.43,-99.13
Moldova,World of Tanks,47,28.91
Mongolia,Dota 2,47.92,106.92
Morocco,FIFA 17,33.59,-7.6
Myanmar,Dota 2,16.87,96.2
Netherlands,Horizon Zero Dawn ,52.38,4.9
New Zealand,Battlefield 1,-36.85,174.76
Nigeria,FIFA 17,6.47,3.41
Norway,Battlefield 1,59.91,10.76
Pakistan,Battlefield 1,33.74,73.08
Peru,Persona 5,-12.05,-77.04
Philippines,Dota 2,14.6,120.98
Poland,Battlefield 1,52.24,21.02
Portugal,League of Legends ,38.74,-9.14
Puerto Rico,Overwatch,18.47,-66.11
Romania,CS:GO,44.44,26.1
Russia,World of Tanks,55.75,37.62
Saudi Arabia,Battlefield 1,24.77,46.74
Serbia,League of Legends ,44.79,20.46
Singapore,Overwatch,1.29,103.85
Slovakia,CS:GO,48.15,17.11
Slovenia,Battlefield 1,46.06,14.51
South Africa,Horizon Zero Dawn ,-33.92,18.42
South Korea,Overwatch,37.53,127.02
Spain,Call of Duty: Infinite Warfare,40.42,-3.7
Sweden,Battlefield 1,59.33,18.06
Switzerland,Horizon Zero Dawn ,46.2,6.14
Taiwan,Overwatch,25.11,121.6
Thailand,Overwatch,13.74,100.52
Tunisia,CS:GO,36.86,10.2
Turkey,Battlefield 1,39.93,32.87
Ukraine,World of Tanks,50.43,30.52
United Arab Emirates,FIFA 17,25.28,55.3
United Kingdom,FIFA 17,51.51,-0.12
United Sates,Call of Duty: Infinite Warfare,40.79,-73.97
Uruguay,FIFA 17,-34.9,-56.16
Venezuela,Persona 5,10.5,-66.92
Vietnam,Overwatch,10.76,106.66
