Created-At,From-User,From-User-Id,Id,Language,Retweet-Count,Source,Text,_id
1631481664000,Facundo,186563919,1437164379766722561,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Lenchurey1 @moment_waldo Acá en MdP hay 3 listas de Espert, una peor que otra. Vote a una porque conozco al candidato y lo apoyo, junto con 2 más de su lista. El resto, familiares o impresentables. La otra... Mamá.
Liberal, Posta, ninguna. Todos cambiemitas arrepentidos.",613e70dace63935b7d652669
1631481098000,Mary Veas,711401297489076224,1437162009271971847,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Magdale_Aguilar @GreecyYai @Eles26 @SiempreMiriamH @VicioLopez @antonylople @Saby04116401 @EmreSoliman @LaChoca10 @Juanfra29442037 @Alondra04461139 @Ger_Rico10 @CoromotoCampo Gracias hermosa Magda por mencionarme en tus listas de seguidores 💕 
#JuntosConMagda 
#VamosSumando 💪
#MeSiguenLosSigo 👠👠
#FollowSeguro 💯✖💯 https://t.co/XYnyhVhzWD",613e70dace63935b7d65266a
1631480387000,💚(((Leito))😷,360338275,1437159026702311433,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Me dicen por cucaracha que Milei está haciendo una excelente elección.
Se la dedica a Cambiemos y su múltiples listas",613e70dace63935b7d65266b
1631480108000,Graciela Laddaga,806315683114008576,1437157853538631681,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@FabianHaedo Listas de q Fabián?,613e70dace63935b7d65266c
1631479911000,POR SIEMPRE BITA✨ 💙+💙,166276984,1437157028410142721,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@MARCELOFAVAOK Schiaretti se los da con ambas listas....no hay problemas,613e70dace63935b7d65266d
1631479757000,StellaMarisJuárez⚪️🔴⚪️,145257754,1437156381681987587,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Mercede73902474 @Trompe__ @ljuez @laurmachado Ahhh bueno. Igual seguro integran listas. Asì que palomas va a haber.,613e70dace63935b7d65266e
1631479462000,Facundo Bringa,790583348,1437155144014127104,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@itsr0dr No boludo, ya circulan una banda de fotos de listas waskeadas",613e70dace63935b7d65266f
1631478826000,𝖄𝖆𝖓𝖊𝖑𝖑𝖆,3068912283,1437152479767154688,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iba viendo las listas y me quedé en shock con la de cinthia fernandez, fue como que toda su ""campaña"" me pareció un chiste, no pensaba encontrarla ahí",613e70dace63935b7d652670
1631477931000,Lali Tozzi 💚,593999348,1437148723470127109,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Se me imaginan si los candidatos de todas las listas fuesen a fiscalizar? 🤔,613e70dace63935b7d652671
1631477616000,SM Noticias,12445742,1437147401941393408,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Todas las listas en el cuarto oscuro. https://t.co/OLA8q0iW33,613e70dace63935b7d652672
1631477415000,Juan Pablo,87575167,1437146559603433477,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Entras al cuarto oscuro de las paso y la cantidad de listas es tipo asi https://t.co/oV5pDmvYx6,613e70dace63935b7d652673
1631477403000,Nano,200566302,1437146508932128773,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Demasiadas listas zurdas...así estamos,613e70dace63935b7d652674
1631477208000,Hugo Matteri 🌴☀🌴,197133329,1437145693345492993,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@die_quema Acá votamos senadores y diputados nacionales, y concejales.
Todos de JxC, pero de listas distintas en la interna.
Hay que votar por los amigos",613e70dace63935b7d652675
1631476439000,G4t0,370984244,1437142464528363524,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@gwynn10 @sergiorock67 Habria que preguntar a quien programa esas aplicaciones.  Cada celular tiene una IP y un propietario. De todas maneras habría que terminar con las PASO, es un gasto inútil y con las listas sábanas que es la peor forma de eleccion.",613e70dace63935b7d652676
1631476307000,Mokina,1241880886276169730,1437141914009100294,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tenemos una cita en el """"Arthur Ashe"""".....y ya estamos listas!!!
VAMOS NOLE!!!!",613e70dace63935b7d652677
1631475104000,Pable Matías,445007038,1437136866927599618,es,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Solamente hay morochos en las listas de Gómez centurión, Cinthya Hotton y el partido pro vida.",613e70dace63935b7d652678
