Fecha,Dosis_Administradas,Personas_Vacunadas,Completamente_vacunadados,Porcentaje_vacunados
15/09/2021,47.597.080,28.758.477,18.485.435,"41,13%"
14/09/2021,47.543.513,28.758.477,18.485.435,"41,13%"
13/09/2021,47.242.831,28.721.805,18.274.595,"40,67%"
12/09/2021,46.981.353,28.706.802,18.188.230,"40,47%"
11/09/2021,46.894.772,28.679.706,18.011.231,"40,08%"
10/09/2021,46.690.888,28.619.681,17.679.598,"39,34%"
09/09/2021,46.299.230,28.553.239,17.364.418,"38,64%"
08/09/2021,45.917.635,28.431.871,16.745.593,"37,26%"
07/09/2021,45.523.595,28.431.871,16.745.593,"37,26%"
06/09/2021,45.068.482,28.344.998,16.322.499,"36,32%"
05/09/2021,44.667.497,28.306.772,16.094.665,"35,81%"
04/09/2021,44.401.437,28.249.162,15.800.014,"35,16%"
03/09/2021,44.049.176,28.183.966,15.512.349,"34,52%"
02/09/2021,43.582.584,28.100.621,15.121.308,"33,65%"
01/09/2021,43.125.947,28.005.793,14.786.884,"32,90%"
31/08/2021,42.693.169,27.873.340,14.387.231,"32,02%"
30/08/2021,42.260.571,27.797.557,14.132.981,"31,45%"
29/08/2021,41.863.027,27.750.181,13.875.229,"30,88%"
28/08/2021,41.625.410,27.585.143,13.270.035,"29,53%"
27/08/2021,41.305.344,27.490.908,12.916.502,"28,74%"
26/08/2021,40.855.178,27.490.908,12.916.502,"28,74%"
25/08/2021,40.407.410,27.414.859,12.536.759,"27,90%"
24/08/2021,39.951.618,27.301.884,12.205.961,"27,16%"
23/08/2021,39.507.845,27.210.308,11.923.418,"26,53%"
22/08/2021,39.133.726,27.178.860,11.725.229,"26,09%"
21/08/2021,38.904.089,27.105.019,11.479.360,"25,54%"
20/08/2021,38.584.379,26.993.547,11.151.888,"24,82%"
19/08/2021,38.145.435,26.902.913,10.786.254,"24,00%"
18/08/2021,37.689.167,26.784.800,10.449.719,"23,25%"
17/08/2021,37.234.519,26.684.756,10.257.176,"22,82%"
16/08/2021,36.941.932,26.643.961,10.165.290,"22,62%"
15/08/2021,36.809.251,26.565.910,9.821.987,"21,86%"
14/08/2021,36.641.694,26.565.910,9.821.987,"21,86%"
13/08/2021,36.387.897,26.484.592,9.553.439,"21,26%"
12/08/2021,36.038.031,26.414.061,9.348.431,"20,80%"
11/08/2021,35.680.790,26.293.313,8.954.463,"19,93%"
10/08/2021,35.247.776,26.293.313,8.954.463,"19,93%"
09/08/2021,34.902.791,26.179.454,8.723.337,"19,41%"
08/08/2021,34.624.926,26.076.234,8.548.692,"19,02%"
07/08/2021,34.430.142,26.028.829,8.401.313,"18,69%"
06/08/2021,34.134.158,25.950.647,8.183.511,"18,21%"
05/08/2021,33.735.965,25.806.439,7.929.526,"17,65%"
04/08/2021,33.335.932,25.646.674,7.689.258,"17,11%"
03/08/2021,30.655.272,25.337.678,7.358.204,"16,37%"
