Fecha,Dosis_Administradas,Personas_Vacunadas,Completamente_vacunadados,Porcentaje_vacunados
10/09/2021,29.923.619,14.469.748,13.880.082,"72,64%"
09/09/2021,29.923.619,14.469.748,13.880.082,"72,64%"
08/09/2021,29.589.680,14.449.896,13.799.306,"72,22%"
07/09/2021,29.589.680,14.449.896,13.799.306,"72,22%"
06/09/2021,29.439.957,14.433.504,13.739.673,"71,91%"
05/09/2021,29.439.524,14.433.335,13.739.469,"71,91%"
04/09/2021,29.435.464,14.432.607,13.738.246,"71,90%"
03/09/2021,29.331.816,14.430.291,13.719.728,"71,80%"
02/09/2021,29.191.019,14.427.750,13.694.664,"71,67%"
01/09/2021,29.030.816,14.424.212,13.657.691,"71,48%"
31/08/2021,28.827.928,14.402.154,13.563.323,"70,99%"
30/08/2021,28.637.824,14.381.007,13.484.231,"70,57%"
29/08/2021,28.636.748,14.380.538,13.483.628,"70,57%"
28/08/2021,28.495.812,14.376.091,13.426.037,"70,27%"
27/08/2021,28.312.036,14.372.483,13.345.985,"69,85%"
26/08/2021,28.312.036,14.372.483,13.345.985,"69,85%"
25/08/2021,28.198.004,14.354.049,13.328.516,"69,76%"
24/08/2021,28.078.122,14.327.069,13.305.156,"69,63%"
23/08/2021,27.960.450,14.298.007,13.275.644,"69,48%"
22/08/2021,27.959.033,14.297.329,13.274.767,"69,48%"
21/08/2021,27.949.717,14.295.630,13.270.723,"69,45%"
20/08/2021,27.796.753,14.292.143,13.213.268,"69,15%"
19/08/2021,27.626.715,14.288.449,13.151.703,"68,83%"
18/08/2021,26.785.123,14.246.757,13.048.158,"68,29%"
17/08/2021,26.727.606,14.210.112,13.027.147,"68,18%"
16/08/2021,26.727.106,14.209.874,13.026.883,"68,18%"
15/08/2021,26.671.675,14.207.093,12.974.102,"67,90%"
14/08/2021,26.671.675,14.207.093,12.974.102,"67,90%"
13/08/2021,26.587.659,14.204.177,12.892.881,"67,48%"
12/08/2021,26.587.659,14.204.177,12.892.881,"67,48%"
11/08/2021,26.285.490,14.056.388,12.737.914,"66,67%"
10/08/2021,26.285.490,14.056.388,12.737.914,"66,67%"
09/08/2021,25.688.833,13.857.925,12.337.649,"64,57%"
08/08/2021,25.688.833,13.857.925,12.337.649,"64,57%"
07/08/2021,25.688.833,13.857.925,12.337.649,"64,57%"
06/08/2021,25.688.833,13.857.925,12.337.649,"64,57%"
05/08/2021,25.688.833,13.857.925,12.337.649,"64,57%"
04/08/2021,25.688.833,13.857.925,12.337.649,"64,57%"
03/08/2021,25.649.538,13.829.217,12.326.594,"64,51%"
02/08/2021,25.649.538,13.829.217,12.326.594,"64,51%"
01/08/2021,25.642.416,13.828.490,12.320.188,"64,48%"
31/07/2021,25.479.218,13.810.109,12.174.521,"63,72%"
30/07/2021,25.444.116,13.801.885,12.147.091,"63,57%"
29/07/2021,25.444.116,13.801.885,12.147.091,"63,57%"
28/07/2021,25.337.393,13.772.232,12.068.193,"63,16%"
27/07/2021,25.337.393,13.772.232,12.068.193,"63,16%"
