Fecha,Dosis_Administradas,Personas_Vacunadas,Completamente_vacunadados,Porcentaje_vacunados
10/09/2021,20.170.825,10.699.102,9.471.723,"54,85%"
09/09/2021,20.170.825,10.699.102,9.471.723,"54,85%"
08/09/2021,20.022.702,10.699.102,9.323.600,"53,99%"
07/09/2021,20.022.702,10.699.102,9.323.600,"53,99%"
06/09/2021,20.022.702,10.699.102,9.323.600,"53,99%"
05/09/2021,19.962.941,10.699.102,9.263.839,"53,65%"
04/09/2021,19.704.153,10.699.102,9.005.051,"52,15%"
03/09/2021,19.704.153,10.699.102,9.005.051,"52,15%"
02/09/2021,19.512.448,10.699.102,8.813.346,"51,04%"
01/09/2021,19.512.448,10.699.102,8.813.346,"51,04%"
31/08/2021,19.260.796,10.699.102,8.561.694,"49,58%"
30/08/2021,18.195.864,9.987.247,8.208.617,"47,54%"
29/08/2021,18.003.827,9.984.903,8.018.924,"46,44%"
28/08/2021,18.003.827,9.979.810,7.533.965,"43,63%"
27/08/2021,17.513.775,9.979.810,7.533.965,"43,63%"
26/08/2021,17.513.775,9.979.810,7.533.965,"43,63%"
25/08/2021,17.067.706,9.970.890,7.096.816,"41,10%"
24/08/2021,17.067.706,9.970.890,7.096.816,"41,10%"
23/08/2021,16.835.733,9.964.227,6.871.506,"39,79%"
22/08/2021,16.693.126,9.963.626,6.729.500,"38,97%"
21/08/2021,16.500.237,9.963.105,6.537.132,"37,86%"
20/08/2021,16.235.098,9.960.012,5.919.425,"34,28%"
19/08/2021,15.516.237,9.958.643,5.557.594,"32,18%"
18/08/2021,15.516.237,9.958.643,5.557.594,"32,18%"
17/08/2021,14.742.430,9.956.777,4.785.653,"27,71%"
16/08/2021,14.742.430,9.956.777,4.785.653,"27,71%"
15/08/2021,14.684.326,9.955.383,4.622.931,"26,77%"
14/08/2021,14.578.314,9.955.383,4.622.931,"26,77%"
13/08/2021,14.363.025,9.945.975,4.417.050,"25,58%"
12/08/2021,14.097.131,9.944.522,4.152.609,"24,05%"
11/08/2021,13.351.482,9.929.240,3.422.242,"19,82%"
10/08/2021,13.351.482,9.929.240,3.422.242,"19,82%"
09/08/2021,13.351.482,9.929.240,3.422.242,"19,82%"
08/08/2021,12.883.619,9.637.618,3.246.001,"18,80%"
07/08/2021,12.649.538,9.585.665,3.063.873,"17,74%"
06/08/2021,12.384.109,9.524.743,2.859.366,"16,56%"
05/08/2021,12.138.621,9.446.897,2.691.724,"15,59%"
04/08/2021,11.917.800,9.358.610,2.559.190,"14,82%"
03/08/2021,11.732.461,9.269.733,2.462.728,"14,26%"
02/08/2021,11.419.806,9.047.885,2.371.921,"13,74%"
01/08/2021,11.419.806,9.047.885,2.371.921,"13,74%"
31/07/2021,11.221.939,8.884.880,2.337.059,"13,53%"
30/07/2021,10.929.785,8.368.783,2.215.238,"12,83%"
29/07/2021,10.584.021,8.368.783,2.215.238,"12,83%"
28/07/2021,10.051.176,7.960.999,2.090.177,"12,10%"
27/07/2021,9.880.401,7.648.949,2.028.931,"11,75%"
26/07/2021,9.677.880,7.648.949,2.028.931,"11,75%"
25/07/2021,9.510.668,7.494.082,2.016.586,"11,68%"
24/07/2021,9.510.668,7.302.932,1.992.419,"11,54%"
23/07/2021,9.295.351,7.302.932,1.992.419,"11,54%"
22/07/2021,9.055.887,7.087.388,1.968.499,"11,40%"
21/07/2021,8.707.304,6.778.045,1.929.259,"11,17%"
20/07/2021,8.467.877,6.551.874,1.916.003,"11,10%"
19/07/2021,8.178.327,6.281.841,1.896.486,"10,98%"
18/07/2021,7.882.979,6.001.154,1.881.825,"10,90%"
17/07/2021,7.591.739,5.730.317,1.861.422,"10,78%"
16/07/2021,7.281.701,5.447.856,1.833.845,"10,62%"
15/07/2021,6.890.876,5.079.607,1.811.269,"10,49%"
14/07/2021,5.786.147,4.088.423,1.697.724,"9,83%"
13/07/2021,5.786.147,4.088.423,1.697.724,"9,83%"
12/07/2021,5.786.147,3.933.031,1.686.084,"9,76%"
11/07/2021,5.619.115,3.933.031,1.686.084,"9,76%"
10/07/2021,5.358.688,3.714.533,1.644.155,"9,52%"
09/07/2021,5.142.998,3.360.276,1.598.116,"9,25%"
08/07/2021,4.958.392,3.360.276,1.598.116,"9,25%"
07/07/2021,4.794.852,3.225.402,1.569.450,"9,09%"
06/07/2021,4.647.258,2.968.679,1.483.111,"8,59%"
05/07/2021,4.451.790,2.968.679,1.483.111,"8,59%"
04/07/2021,4.451.790,2.968.679,1.483.111,"8,59%"
03/07/2021,4.345.970,2.885.050,1.416.916,"8,21%"
02/07/2021,4.301.966,2.793.332,1.359.225,"7,87%"
01/07/2021,4.152.557,2.793.332,1.359.225,"7,87%"
30/06/2021,4.152.557,2.793.332,1.359.225,"7,87%"
29/06/2021,4.091.026,2.747.894,1.343.132,"7,78%"
28/06/2021,4.024.007,2.701.284,1.322.723,"7,66%"
27/06/2021,3.991.635,2.680.072,1.311.563,"7,60%"
26/06/2021,3.944.256,2.537.302,1.260.361,"7,30%"
25/06/2021,3.797.663,2.537.302,1.260.361,"7,30%"
24/06/2021,3.797.663,2.537.302,1.260.361,"7,30%"
23/06/2021,3.725.385,2.480.014,1.245.371,"7,21%"
22/06/2021,3.658.226,2.426.450,1.231.776,"7,13%"
21/06/2021,3.580.667,2.368.971,1.211.696,"7,02%"
20/06/2021,3.558.254,2.079.889,1.053.498,"6,10%"
19/06/2021,3.133.387,2.079.889,1.053.498,"6,10%"
18/06/2021,3.133.387,2.079.889,1.053.498,"6,10%"
17/06/2021,3.133.387,2.079.889,1.053.498,"6,10%"
16/06/2021,3.133.387,2.043.159,1.038.013,"6,01%"
15/06/2021,3.081.172,2.043.159,1.038.013,"6,01%"
14/06/2021,2.788.245,1.877.548,910.697,"5,27%"
13/06/2021,2.788.245,1.877.548,910.697,"5,27%"
12/06/2021,2.788.245,1.877.548,910.697,"5,27%"
11/06/2021,2.788.245,1.877.548,910.697,"5,27%"
10/06/2021,2.717.072,1.825.096,891.976,"5,17%"
09/06/2021,2.717.072,1.825.096,891.976,"5,17%"
08/06/2021,2.717.072,1.825.096,891.976,"5,17%"
07/06/2021,2.645.983,1.774.025,871.958,"5,05%"
06/06/2021,2.597.836,1.744.825,853.011,"4,94%"
05/06/2021,2.529.218,1.702.124,827.094,"4,79%"
04/06/2021,2.529.218,1.702.124,827.094,"4,79%"
03/06/2021,2.447.889,1.657.029,790.860,"4,58%"
