Fecha,Dosis_Administradas,Personas_Vacunadas,Completamente_vacunadados,Porcentaje_vacunados
10/09/2021,4.095.681,2.286.112,1.809.569,"25,30%"
09/09/2021,4.095.681,2.286.112,1.809.569,"25,30%"
08/09/2021,4.095.681,2.286.112,1.809.569,"25,30%"
07/09/2021,4.095.681,2.286.112,1.809.569,"25,30%"
06/09/2021,4.095.681,2.286.112,1.809.569,"25,30%"
05/09/2021,4.048.333,2.264.629,1.783.704,"24,94%"
04/09/2021,4.048.333,2.264.629,1.783.704,"24,94%"
03/09/2021,4.048.333,2.264.629,1.783.704,"24,94%"
02/09/2021,3.928.259,2.266.494,1.661.765,"23,23%"
01/09/2021,3.928.259,2.266.494,1.661.765,"23,23%"
31/08/2021,3.928.259,2.266.494,1.661.765,"23,23%"
30/08/2021,3.928.259,2.266.494,1.661.765,"23,23%"
29/08/2021,3.928.259,2.266.494,1.661.765,"23,23%"
28/08/2021,3.928.259,2.266.494,1.661.765,"23,23%"
27/08/2021,3.784.757,2.253.992,1.530.765,"21,40%"
26/08/2021,3.784.757,2.253.992,1.530.765,"21,40%"
25/08/2021,3.784.757,2.253.992,1.530.765,"21,40%"
24/08/2021,3.784.757,2.253.992,1.530.765,"21,40%"
23/08/2021,3.784.757,2.253.992,1.530.765,"21,40%"
22/08/2021,3.784.757,2.253.992,1.530.765,"21,40%"
21/08/2021,3.784.757,2.253.992,1.530.765,"21,40%"
20/08/2021,3.611.565,2.217.446,1.394.119,"19,49%"
19/08/2021,3.278.382,2.249.679,1.028.703,"14,38%"
18/08/2021,3.278.382,1.837.008,286.989,"4,01%"
17/08/2021,3.278.382,1.837.008,286.989,"4,01%"
16/08/2021,3.278.382,1.837.008,286.989,"4,01%"
15/08/2021,2.793.726,1.837.008,286.989,"4,01%"
14/08/2021,2.793.726,1.837.008,286.989,"4,01%"
13/08/2021,2.793.726,1.837.008,286.989,"4,01%"
12/08/2021,2.793.726,1.837.008,286.989,"4,01%"
11/08/2021,2.793.726,1.837.008,286.989,"4,01%"
10/08/2021,2.793.726,1.837.008,286.989,"4,01%"
09/08/2021,2.793.726,1.837.008,286.989,"4,01%"
08/08/2021,2.445.978,1.837.008,286.989,"4,01%"
07/08/2021,2.445.978,1.837.008,286.989,"4,01%"
06/08/2021,2.445.978,1.837.008,286.989,"4,01%"
05/08/2021,2.445.978,1.837.008,286.989,"4,01%"
04/08/2021,2.445.978,1.837.008,286.989,"4,01%"
03/08/2021,2.445.978,1.837.008,286.989,"4,01%"
02/08/2021,2.123.997,1.837.008,286.989,"4,01%"
