Fecha,Dosis_Administradas,Personas_Vacunadas,Completamente_vacunadados,Porcentaje_vacunados
10/09/2021,20.662.297,11.553.723,8.679.284,"26,70%"
09/09/2021,20.511.790,11.553.723,8.679.284,"26,70%"
08/09/2021,20.194.581,10.866.694,8.495.758,"26,13%"
07/09/2021,19.886.413,10.866.694,8.495.758,"26,13%"
06/09/2021,19.780.104,10.866.694,8.495.758,"26,13%"
05/09/2021,19.572.728,10.866.694,8.495.758,"26,13%"
04/09/2021,19.407.288,10.742.139,8.451.487,"26,00%"
03/09/2021,19.160.649,10.511.980,8.303.953,"25,54%"
02/09/2021,18.971.313,10.541.607,8.277.602,"25,46%"
01/09/2021,18.779.399,10.362.816,8.159.638,"25,10%"
31/08/2021,18.665.069,10.046.728,7.800.482,"23,99%"
30/08/2021,18.471.601,10.046.728,7.800.482,"23,99%"
29/08/2021,18.421.770,10.046.728,7.800.482,"23,99%"
28/08/2021,18.151.872,9.991.279,7.712.339,"23,72%"
27/08/2021,17.817.989,9.869.336,7.629.036,"23,47%"
26/08/2021,17.682.355,9.869.336,7.629.036,"23,47%"
25/08/2021,17.576.711,9.869.336,7.629.036,"23,47%"
24/08/2021,17.477.056,9.818.769,7.575.624,"23,30%"
23/08/2021,17.363.831,9.740.759,7.497.432,"23,06%"
22/08/2021,17.235.247,9.614.673,7.420.239,"22,82%"
21/08/2021,16.937.206,9.397.634,7.242.876,"22,28%"
20/08/2021,16.742.825,9.355.138,7.163.217,"22,03%"
19/08/2021,16.617.151,9.355.138,7.163.217,"22,03%"
18/08/2021,16.491.674,9.307.189,7.086.136,"21,80%"
17/08/2021,16.363.486,9.260.765,7.001.900,"21,54%"
16/08/2021,16.225.119,9.215.626,6.920.113,"21,29%"
15/08/2021,16.031.067,9.154.357,6.636.428,"20,41%"
14/08/2021,15.939.794,9.154.357,6.636.428,"20,41%"
13/08/2021,15.760.516,9.107.568,6.551.507,"20,15%"
12/08/2021,15.625.510,9.050.949,6.459.585,"19,87%"
11/08/2021,15.470.279,8.879.464,6.290.463,"19,35%"
10/08/2021,15.304.649,8.879.464,6.290.463,"19,35%"
09/08/2021,15.123.558,8.750.005,6.154.935,"18,93%"
08/08/2021,14.898.969,8.575.459,6.047.148,"18,60%"
07/08/2021,14.603.480,8.254.969,5.776.402,"17,77%"
06/08/2021,14.256.155,8.254.969,5.776.402,"17,77%"
05/08/2021,13.997.234,8.156.701,5.546.832,"17,06%"
04/08/2021,13.833.067,5.778.443,4.142.057,"12,74%"
03/08/2021,13.486.230,8.086.008,5.400.222,"16,61%"
02/08/2021,13.152.285,7.997.150,5.155.135,"15,86%"
01/08/2021,13.152.285,7.997.150,5.155.135,"15,86%"
31/07/2021,12.939.471,7.952.895,4.986.576,"15,34%"
30/07/2021,12.521.783,7.819.321,4.702.462,"14,46%"
29/07/2021,12.521.783,7.819.321,4.702.462,"14,46%"
28/07/2021,12.521.783,7.819.321,4.702.462,"14,46%"
27/07/2021,12.480.520,7.627.284,4.492.612,"13,82%"
